date,event_id,venue,city,state,show_set,time,song,isong,next_set,Nevents,ievent,break_length
1971-05-29,1263,Winterland,San Francisco,CA,Set 1,,Not Fade Away,5191,,1,1,long
1971-05-30,1265,Winterland,San Francisco,CA,Set 1,,Good Lovin',5200,Set 2,1,1,long
1971-05-30,1265,Winterland,San Francisco,CA,Set 2,,Casey Jones,5211,Encore,1,1,short
1971-05-30,1265,Winterland,San Francisco,CA,Encore,,Johnny B. Goode,5212,,1,1,long
1971-06-21,1279,Chateau d'Herouville,Herouville,France,Set 1,,Bertha,5227,Set 2,1,1,long
1971-06-21,1279,Chateau d'Herouville,Herouville,France,Set 2,,Johnny B. Goode,5235,,1,1,long
1971-07-02,1287,Fillmore West,San Francisco,CA,Set 1,,Good Lovin',5249,Set 2,1,1,long
1971-07-02,1287,Fillmore West,San Francisco,CA,Set 2,,Not Fade Away,5260,Encore,1,1,short
1971-07-02,1287,Fillmore West,San Francisco,CA,Encore,,Johnny B. Goode,5261,,1,1,long
1971-07-31,1311,Yale Bowl,New Haven,CT,Set 1,,Me And Bobby McGee,5273,Set 2,1,1,long
1971-07-31,1311,Yale Bowl,New Haven,CT,Set 2,,Johnny B. Goode,5288,,1,1,long
1971-08-04,1313,Terminal Island Correctional Facility,San Pedro,CA,Set 1,,Turn On Your Lovelight,5307,,1,1,long
1971-08-05,1315,Hollywood Palladium,Hollywood,CA,Set 1,,Casey Jones,5318,Set 2,1,1,long
1971-08-05,1315,Hollywood Palladium,Hollywood,CA,Set 2,,Not Fade Away,5328,Encore,1,1,short
1971-08-05,1315,Hollywood Palladium,Hollywood,CA,Encore,,Johnny B. Goode,5329,,1,1,long
1971-08-06,1317,Hollywood Palladium,Hollywood,CA,Set 1,,Casey Jones,5339,Set 2,1,1,long
1971-08-06,1317,Hollywood Palladium,Hollywood,CA,Set 2,,Turn On Your Lovelight,5349,,1,1,long
1971-08-07,1319,Community Concourse Golden Hall,San Diego,CA,Set 1,,Casey Jones,5360,Set 2,1,1,long
1971-08-07,1319,Community Concourse Golden Hall,San Diego,CA,Set 2,,Johnny B. Goode,5371,,1,1,long
1971-08-14,1323,Berkeley Community Theater,Berkeley,CA,Set 1,,Promised Land,5384,Set 2,1,1,long
1971-08-14,1323,Berkeley Community Theater,Berkeley,CA,Set 2,,Not Fade Away,5392,Encore,1,1,short
1971-08-14,1323,Berkeley Community Theater,Berkeley,CA,Encore,,Uncle John's Band,5394,,1,1,long
1971-08-15,1325,Berkeley Community Theater,Berkeley,CA,Set 1,,Casey Jones,5405,Set 2,1,1,long
1971-08-15,1325,Berkeley Community Theater,Berkeley,CA,Set 2,,Turn On Your Lovelight,5412,Encore,1,1,short
1971-08-15,1325,Berkeley Community Theater,Berkeley,CA,Encore,,And We Bid You Good Night,5414,,1,1,long
1971-08-23,1333,Auditorium Theatre,Chicago,IL,Set 1,19:30:00.000,Casey Jones,5429,Set 2,1,1,long
1971-08-23,1333,Auditorium Theatre,Chicago,IL,Set 2,19:30:00.000,Johnny B. Goode,5445,,1,1,long
1971-08-24,1334,Auditorium Theatre,Chicago,IL,Set 1,19:30:00.000,Casey Jones,5458,Set 2,1,1,long
1971-08-24,1334,Auditorium Theatre,Chicago,IL,Set 2,19:30:00.000,Good Lovin',5469,,1,1,long
1971-08-26,1335,Gaelic Park,Bronx,NY,Set 1,,Casey Jones,5483,Set 2,1,1,long
1971-08-26,1335,Gaelic Park,Bronx,NY,Set 2,,Not Fade Away,5498,Encore,1,1,short
1971-08-26,1335,Gaelic Park,Bronx,NY,Encore,,Johnny B. Goode,5499,,1,1,long
1971-10-19,1372,"Northrop Auditorium, University of Minnesota",Minneapolis,MN,Set 1,,Casey Jones,5514,Set 2,1,1,long
1971-10-19,1372,"Northrop Auditorium, University of Minnesota",Minneapolis,MN,Set 2,,Not Fade Away,5528,,1,1,long
1971-10-21,1374,Auditorium Theatre,Chicago,IL,Set 1,19:30:00.000,One More Saturday Night,5541,Set 2,1,1,long
1971-10-21,1374,Auditorium Theatre,Chicago,IL,Set 2,19:30:00.000,Sugar Magnolia,5550,Encore,1,1,short
1971-10-21,1374,Auditorium Theatre,Chicago,IL,Encore,19:30:00.000,Johnny B. Goode,5552,,1,1,long
1971-10-22,1376,Auditorium Theatre,Chicago,IL,Set 1,19:30:00.000,One More Saturday Night,5566,Set 2,1,1,long
1971-10-22,1376,Auditorium Theatre,Chicago,IL,Set 2,19:30:00.000,Sugar Magnolia,5574,Encore,1,1,short
1971-10-22,1376,Auditorium Theatre,Chicago,IL,Encore,19:30:00.000,Johnny B. Goode,5576,,1,1,long
1971-10-23,1378,Eastown Theatre,Detroit,MI,Set 1,,One More Saturday Night,5589,Set 2,1,1,long
1971-10-23,1378,Eastown Theatre,Detroit,MI,Set 2,,Not Fade Away,5599,,1,1,long
1971-10-24,1380,Eastown Theatre,Detroit,MI,Set 1,,Casey Jones,5611,Set 2,1,1,long
1971-10-24,1380,Eastown Theatre,Detroit,MI,Set 2,,Johnny B. Goode,5622,,1,1,long
1971-10-26,1382,"The Palestra, University of Rochester",Rochester,NY,Set 1,20:30:00.000,One More Saturday Night,5638,Set 2,1,1,long
1971-10-26,1382,"The Palestra, University of Rochester",Rochester,NY,Set 2,20:30:00.000,Johnny B. Goode,5644,,1,1,long
1971-10-27,1384,Onondaga County War Memorial,Syracuse,NY,Set 1,,One More Saturday Night,5657,Set 2,1,1,long
1971-10-27,1384,Onondaga County War Memorial,Syracuse,NY,Set 2,,Not Fade Away,5668,,1,1,long
1971-10-29,1386,Allen Theatre,Cleveland,OH,Set 1,22:00:00.000,Casey Jones,5681,Set 2,1,1,long
1971-10-29,1386,Allen Theatre,Cleveland,OH,Set 2,22:00:00.000,Not Fade Away,5693,Encore,1,1,short
1971-10-29,1386,Allen Theatre,Cleveland,OH,Encore,22:00:00.000,One More Saturday Night,5694,,1,1,long
1971-10-30,1388,Taft Auditorium,Cincinnati,OH,Set 1,,One More Saturday Night,5706,Set 2,1,1,long
1971-10-30,1388,Taft Auditorium,Cincinnati,OH,Set 2,,Not Fade Away,5716,,1,1,long
1971-10-31,1390,Ohio Theatre,Columbus,OH,Set 1,21:00:00.000,One More Saturday Night,5730,Set 2,1,1,long
1971-10-31,1390,Ohio Theatre,Columbus,OH,Set 2,21:00:00.000,Not Fade Away,5736,Encore,1,1,short
1971-10-31,1390,Ohio Theatre,Columbus,OH,Encore,21:00:00.000,Johnny B. Goode,5737,,1,1,long
1971-11-06,1392,Harding Theater,San Francisco,CA,Set 1,,One More Saturday Night,5752,Set 2,1,1,long
1971-11-06,1392,Harding Theater,San Francisco,CA,Set 2,,Not Fade Away,5764,,1,1,long
1971-11-07,1393,Harding Theater,San Francisco,CA,Set 1,,One More Saturday Night,5777,Set 2,1,1,long
1971-11-07,1393,Harding Theater,San Francisco,CA,Set 2,,Not Fade Away,5793,Encore,1,1,short
1971-11-07,1393,Harding Theater,San Francisco,CA,Encore,,Uncle John's Band,5795,,1,1,long
1971-11-11,1394,Atlanta Municipal Auditorium,Atlanta,GA,Set 1,,Casey Jones,5802,Set 2,1,1,long
1971-11-11,1394,Atlanta Municipal Auditorium,Atlanta,GA,Set 2,,Not Fade Away,5811,Encore,1,1,short
1971-11-11,1394,Atlanta Municipal Auditorium,Atlanta,GA,Encore,,Johnny B. Goode,5812,,1,1,long
1971-11-12,1395,San Antonio Municipal Auditorium,San Antonio,TX,Set 1,20:00:00.000,One More Saturday Night,5823,Set 2,1,1,long
1971-11-12,1395,San Antonio Municipal Auditorium,San Antonio,TX,Set 2,20:00:00.000,Casey Jones,5832,Encore,1,1,short
1971-11-12,1395,San Antonio Municipal Auditorium,San Antonio,TX,Encore,20:00:00.000,Johnny B. Goode,5833,,1,1,long
1971-11-14,1396,Texas Christian University,Fort Worth,TX,Set 1,,One More Saturday Night,5849,Set 2,1,1,long
1971-11-14,1396,Texas Christian University,Fort Worth,TX,Set 2,,Sugar Magnolia,5856,Encore,1,1,short
1971-11-14,1396,Texas Christian University,Fort Worth,TX,Encore,,Johnny B. Goode,5857,,1,1,long
1971-11-15,1397,Austin Municipal Auditorium,Austin,TX,Set 1,,One More Saturday Night,5869,Set 2,1,1,long
1971-11-15,1397,Austin Municipal Auditorium,Austin,TX,Set 2,,Not Fade Away,5880,Encore,1,1,short
1971-11-15,1397,Austin Municipal Auditorium,Austin,TX,Encore,,Johnny B. Goode,5881,,1,1,long
1971-11-17,1398,Albuquerque Civic Auditorium,Albuquerque,NM,Set 1,19:00:00.000,Sugar Magnolia,5898,Set 2,1,1,long
1971-11-17,1398,Albuquerque Civic Auditorium,Albuquerque,NM,Set 2,19:00:00.000,Not Fade Away,5907,Encore,1,1,short
1971-11-17,1398,Albuquerque Civic Auditorium,Albuquerque,NM,Encore,19:00:00.000,Ramble On Rose,5908,,1,1,long
1971-11-20,1400,"Pauley Pavilion, UCLA",Los Angeles,CA,Set 1,19:30:00.000,One More Saturday Night,5922,Set 2,1,1,long
1971-11-20,1400,"Pauley Pavilion, UCLA",Los Angeles,CA,Set 2,19:30:00.000,Not Fade Away,5931,,1,1,long
1971-12-01,1403,Boston Music Hall,Boston,MA,Set 1,,One More Saturday Night,5943,Set 2,1,1,long
1971-12-01,1403,Boston Music Hall,Boston,MA,Set 2,,Not Fade Away,5954,,1,1,long
1971-12-02,1404,Boston Music Hall,Boston,MA,Set 1,,One More Saturday Night,5968,Set 2,1,1,long
1971-12-02,1404,Boston Music Hall,Boston,MA,Set 2,,Not Fade Away,5977,Encore,1,1,short
1971-12-02,1404,Boston Music Hall,Boston,MA,Encore,,Johnny B. Goode,5978,,1,1,long
1971-12-04,1405,"Felt Forum, Madison Square Garden",New York,NY,Set 1,,One More Saturday Night,5992,Set 2,1,1,long
1971-12-04,1405,"Felt Forum, Madison Square Garden",New York,NY,Set 2,,Casey Jones,5999,Encore,1,1,short
1971-12-04,1405,"Felt Forum, Madison Square Garden",New York,NY,Encore,,Johnny B. Goode,6000,,1,1,long
1971-12-05,1406,"Felt Forum, Madison Square Garden",New York,NY,Set 1,,One More Saturday Night,6015,Set 2,1,1,long
1971-12-05,1406,"Felt Forum, Madison Square Garden",New York,NY,Set 2,,Not Fade Away,6031,Encore,1,1,short
1971-12-05,1406,"Felt Forum, Madison Square Garden",New York,NY,Encore,,Johnny B. Goode,6032,,1,1,long
1971-12-06,1407,"Felt Forum, Madison Square Garden",New York,NY,Set 1,,Casey Jones,6045,Set 2,1,1,long
1971-12-06,1407,"Felt Forum, Madison Square Garden",New York,NY,Set 2,,One More Saturday Night,6056,Encore,1,1,short
1971-12-06,1407,"Felt Forum, Madison Square Garden",New York,NY,Encore,,Uncle John's Band,6057,,1,1,long
1971-12-07,1408,"Felt Forum, Madison Square Garden",New York,NY,Set 1,,Casey Jones,6070,Set 2,1,1,long
1971-12-07,1408,"Felt Forum, Madison Square Garden",New York,NY,Set 2,,Not Fade Away,6082,Encore,1,1,short
1971-12-07,1408,"Felt Forum, Madison Square Garden",New York,NY,Encore,,One More Saturday Night,6083,,1,1,long
1971-12-09,1410,Fox Theatre,St. Louis,MO,Set 1,,One More Saturday Night,6097,Set 2,1,1,long
1971-12-09,1410,Fox Theatre,St. Louis,MO,Set 2,,Not Fade Away,6104,,1,1,long
1971-12-10,1411,Fox Theatre,St. Louis,MO,Set 1,,Casey Jones,6116,Set 2,1,1,long
1971-12-10,1411,Fox Theatre,St. Louis,MO,Set 2,,Not Fade Away,6131,Encore,1,1,short
1971-12-10,1411,Fox Theatre,St. Louis,MO,Encore,,One More Saturday Night,6132,,1,1,long
1971-12-14,1412,Hill Auditorium,Ann Arbor,MI,Set 1,,Casey Jones,6147,Set 2,1,1,long
1971-12-14,1412,Hill Auditorium,Ann Arbor,MI,Set 2,,Not Fade Away,6159,,1,1,long
1971-12-15,1413,Hill Auditorium,Ann Arbor,MI,Set 1,,Casey Jones,6177,Set 2,1,1,long
1971-12-15,1413,Hill Auditorium,Ann Arbor,MI,Set 2,,Turn On Your Lovelight,6184,Encore,1,1,short
1971-12-15,1413,Hill Auditorium,Ann Arbor,MI,Encore,,Uncle John's Band,6186,,1,1,long
1971-12-31,1420,Winterland,San Francisco,CA,Set 1,,One More Saturday Night,6203,Set 2,1,1,long
1971-12-31,1420,Winterland,San Francisco,CA,Set 2,,Not Fade Away,6217,Encore,1,1,short
1971-12-31,1420,Winterland,San Francisco,CA,Encore,,Casey Jones,6218,,1,1,long
1972-01-02,1421,Winterland,San Francisco,CA,Set 1,,Casey Jones,6234,Set 2,1,1,long
1972-01-02,1421,Winterland,San Francisco,CA,Set 2,,Not Fade Away,6242,Encore,1,1,short
1972-01-02,1421,Winterland,San Francisco,CA,Encore,,One More Saturday Night,6243,,1,1,long
1972-03-05,1472,Winterland,San Francisco,CA,Set 1,,Casey Jones,6257,Set 2,1,1,long
1972-03-05,1472,Winterland,San Francisco,CA,Set 2,,Not Fade Away,6263,Encore,1,1,short
1972-03-05,1472,Winterland,San Francisco,CA,Encore,,One More Saturday Night,6264,,1,1,long
1972-03-21,1483,Academy of Music,New York,NY,Set 1,,Casey Jones,6280,Set 2,1,1,long
1972-03-21,1483,Academy of Music,New York,NY,Set 2,,One More Saturday Night,6292,,1,1,long
1972-03-22,1484,Academy of Music,New York,NY,Set 1,,Casey Jones,6308,Set 2,1,1,long
1972-03-22,1484,Academy of Music,New York,NY,Set 2,,Uncle John's Band,6320,Encore,1,1,short
1972-03-22,1484,Academy of Music,New York,NY,Encore,,One More Saturday Night,6321,,1,1,long
1972-03-23,1485,Academy of Music,New York,NY,Set 1,,Casey Jones,6339,Set 2,1,1,long
1972-03-23,1485,Academy of Music,New York,NY,Set 2,,Not Fade Away,6348,Encore,1,1,short
1972-03-23,1485,Academy of Music,New York,NY,Encore,,Sugar Magnolia,6349,,1,1,long
1972-03-25,1487,Academy of Music,New York,NY,Set 1,,Jam,6361,Set 2,1,1,long
1972-03-25,1487,Academy of Music,New York,NY,Set 2,,Bertha,6370,Set 3,1,1,long
1972-03-25,1487,Academy of Music,New York,NY,Set 3,,Casey Jones,6376,,1,1,long
1972-03-26,1488,Academy of Music,New York,NY,Set 1,,Good Lovin',6390,Set 2,1,1,long
1972-03-26,1488,Academy of Music,New York,NY,Set 2,,Not Fade Away,6401,,1,1,long
1972-03-27,1489,Academy of Music,New York,NY,Set 1,,Playing In The Band,6414,Set 2,1,1,long
1972-03-27,1489,Academy of Music,New York,NY,Set 2,,Casey Jones,6424,Encore,1,1,short
1972-03-27,1489,Academy of Music,New York,NY,Encore,,One More Saturday Night,6425,,1,1,long
1972-03-28,1490,Academy of Music,New York,NY,Set 1,,Casey Jones,6441,Set 2,1,1,long
1972-03-28,1490,Academy of Music,New York,NY,Set 2,,Not Fade Away,6450,Encore,1,1,short
1972-03-28,1490,Academy of Music,New York,NY,Encore,,One More Saturday Night,6452,,1,1,long
1972-04-07,1497,Wembley Empire Pool,"London, England",UK,Set 1,,Casey Jones,6466,Set 2,1,1,long
1972-04-07,1497,Wembley Empire Pool,"London, England",UK,Set 2,,Not Fade Away,6477,Encore,1,1,short
1972-04-07,1497,Wembley Empire Pool,"London, England",UK,Encore,,One More Saturday Night,6478,,1,1,long
1972-04-08,1498,Wembley Empire Pool,"London, England",UK,Set 1,,Casey Jones,6492,Set 2,1,1,long
1972-04-08,1498,Wembley Empire Pool,"London, England",UK,Set 2,,Caution,6499,Encore,1,1,short
1972-04-08,1498,Wembley Empire Pool,"London, England",UK,Encore,,One More Saturday Night,6500,,1,1,long
1972-04-11,1502,City Hall,"Newcastle, England",UK,Set 1,,Casey Jones,6518,Set 2,1,1,long
1972-04-11,1502,City Hall,"Newcastle, England",UK,Set 2,,Brokedown Palace,6526,Encore,1,1,short
1972-04-11,1502,City Hall,"Newcastle, England",UK,Encore,,One More Saturday Night,6527,,1,1,long
1972-04-14,1503,Tivoli Concert Hall,Copenhagen,DK,Set 1,,Casey Jones,6542,Set 2,1,1,long
1972-04-14,1503,Tivoli Concert Hall,Copenhagen,DK,Set 2,,Not Fade Away,6557,Encore,1,1,short
1972-04-14,1503,Tivoli Concert Hall,Copenhagen,DK,Encore,,One More Saturday Night,6558,,1,1,long
1972-04-16,1505,Aarhus University,Aarhus,Denmark,Set 1,,Dire Wolf,6572,Set 2,1,1,long
1972-04-16,1505,Aarhus University,Aarhus,Denmark,Set 2,,Not Fade Away,6583,,1,1,long
1972-04-17,1506,Tivoli Concert Hall,Copenhagen,DK,Set 1,,Black Throated Wind,6592,Set 2,1,1,long
1972-04-17,1506,Tivoli Concert Hall,Copenhagen,DK,Set 2,,Truckin',6602,Set 3,1,1,long
1972-04-17,1506,Tivoli Concert Hall,Copenhagen,DK,Set 3,,Johnny B. Goode,6606,,1,1,long
1972-04-21,1507,Beat Club,Bremen,FRG,Set 1,,The Other One,6616,,1,1,long
1972-04-24,1508,Rheinhalle,Dusseldorf,FRG,Set 1,,Casey Jones,6630,Set 2,1,1,long
1972-04-24,1508,Rheinhalle,Dusseldorf,FRG,Set 2,,Not Fade Away,6641,Encore,1,1,short
1972-04-24,1508,Rheinhalle,Dusseldorf,FRG,Encore,,One More Saturday Night,6642,,1,1,long
1972-04-26,1509,Jahrhunderthalle,Frankfurt,FRG,Set 1,,Casey Jones,6662,Set 2,1,1,long
1972-04-26,1509,Jahrhunderthalle,Frankfurt,FRG,Set 2,,One More Saturday Night,6672,,1,1,long
1972-04-29,1510,Musikhalle,Hamburg,FRG,Set 1,,Casey Jones,6686,Set 2,1,1,long
1972-04-29,1510,Musikhalle,Hamburg,FRG,Set 2,,Caution,6692,Encore,1,1,short
1972-04-29,1510,Musikhalle,Hamburg,FRG,Encore,,Uncle John's Band,6694,,1,1,long
1972-05-03,1511,Olympia,Paris,France,Set 1,,Casey Jones,6710,Set 2,1,1,long
1972-05-03,1511,Olympia,Paris,France,Set 2,,Not Fade Away,6726,Encore,1,1,short
1972-05-03,1511,Olympia,Paris,France,Encore,,One More Saturday Night,6727,,1,1,long
1972-05-04,1512,Olympia,Paris,France,Set 1,,Casey Jones,6741,Set 2,1,1,long
1972-05-04,1512,Olympia,Paris,France,Set 2,,Not Fade Away,6755,Encore,1,1,short
1972-05-04,1512,Olympia,Paris,France,Encore,,One More Saturday Night,6756,,1,1,long
1972-05-07,1514,Bickershaw Festival,"Wigan, England",UK,Set 1,,Casey Jones,6770,Set 2,1,1,long
1972-05-07,1514,Bickershaw Festival,"Wigan, England",UK,Set 2,,Not Fade Away,6782,Encore,1,1,short
1972-05-07,1514,Bickershaw Festival,"Wigan, England",UK,Encore,,One More Saturday Night,6783,,1,1,long
1972-05-10,1515,Concertgebouw,Amsterdam,NL,Set 1,,Casey Jones,6801,Set 2,1,1,long
1972-05-10,1515,Concertgebouw,Amsterdam,NL,Set 2,,Not Fade Away,6815,,1,1,long
1972-05-11,1516,Rotterdam Civic Hall,Rotterdam,NL,Set 1,,Casey Jones,6831,Set 2,1,1,long
1972-05-11,1516,Rotterdam Civic Hall,Rotterdam,NL,Set 2,,Uncle John's Band,6845,Encore,1,1,short
1972-05-11,1516,Rotterdam Civic Hall,Rotterdam,NL,Encore,,One More Saturday Night,6846,,1,1,long
1972-05-13,1517,Lille Fairgrounds,Lille,France,Set 1,,Casey Jones,6861,Set 2,1,1,long
1972-05-13,1517,Lille Fairgrounds,Lille,France,Set 2,,Not Fade Away,6870,Encore,1,1,short
1972-05-13,1517,Lille Fairgrounds,Lille,France,Encore,,One More Saturday Night,6871,,1,1,long
1972-05-16,1518,Radio Luxembourg,Luxembourg,LUX,Set 1,,Promised Land,6884,Set 2,1,1,long
1972-05-16,1518,Radio Luxembourg,Luxembourg,LUX,Set 2,,Not Fade Away,6892,Encore,1,1,short
1972-05-16,1518,Radio Luxembourg,Luxembourg,LUX,Encore,,One More Saturday Night,6893,,1,1,long
1972-05-18,1519,Alte Kongresshalle,Munich,FRG,Set 1,,Casey Jones,6908,Set 2,1,1,long
1972-05-18,1519,Alte Kongresshalle,Munich,FRG,Set 2,,Sing Me Back Home,6917,Encore,1,1,short
1972-05-18,1519,Alte Kongresshalle,Munich,FRG,Encore,,One More Saturday Night,6918,,1,1,long
1972-05-23,1520,Strand Lyceum,"London, England",UK,Set 1,,Casey Jones,6937,Set 2,1,1,long
1972-05-23,1520,Strand Lyceum,"London, England",UK,Set 2,,Not Fade Away,6949,Encore,1,1,short
1972-05-23,1520,Strand Lyceum,"London, England",UK,Encore,,Uncle John's Band,6950,,1,1,long
1972-05-24,1521,Strand Lyceum,"London, England",UK,Set 1,,Casey Jones,6965,Set 2,1,1,long
1972-05-24,1521,Strand Lyceum,"London, England",UK,Set 2,,Two Souls In Communion,6975,Encore,1,1,short
1972-05-24,1521,Strand Lyceum,"London, England",UK,Encore,,One More Saturday Night,6976,,1,1,long
1972-05-25,1523,Strand Lyceum,"London, England",UK,Set 1,,Casey Jones,6990,Set 2,1,1,long
1972-05-25,1523,Strand Lyceum,"London, England",UK,Set 2,,One More Saturday Night,7004,,1,1,long
1972-05-26,1524,Strand Lyceum,"London, England",UK,Set 1,,Not Fade Away,7023,Set 2,1,1,long
1972-05-26,1524,Strand Lyceum,"London, England",UK,Set 2,,One More Saturday Night,7035,,1,1,long
1972-06-17,1526,Hollywood Bowl,Hollywood,CA,Set 1,,Casey Jones,7048,Set 2,1,1,long
1972-06-17,1526,Hollywood Bowl,Hollywood,CA,Set 2,,One More Saturday Night,7056,,1,1,long
1972-07-16,1540,Dillon Stadium,Hartford,CT,Set 1,14:00:00.000,Casey Jones,7072,Set 2,1,1,long
1972-07-16,1540,Dillon Stadium,Hartford,CT,Set 2,14:00:00.000,Hey Bo Diddley,7083,Encore,1,1,short
1972-07-16,1540,Dillon Stadium,Hartford,CT,Encore,14:00:00.000,Johnny B. Goode,7084,,1,1,long
1972-07-18,1542,Roosevelt Stadium,Jersey City,NY,Set 1,,Casey Jones,7098,Set 2,1,1,long
1972-07-18,1542,Roosevelt Stadium,Jersey City,NY,Set 2,,Comes A Time,7104,Set 3,1,1,long
1972-07-18,1542,Roosevelt Stadium,Jersey City,NY,Set 3,,Not Fade Away,7112,Encore,1,1,short
1972-07-18,1542,Roosevelt Stadium,Jersey City,NY,Encore,,One More Saturday Night,7113,,1,1,long
1972-07-21,1543,Paramount Northwest Theatre,Seattle,WA,Set 1,,Tennessee Jed,7126,Set 2,1,1,long
1972-07-21,1543,Paramount Northwest Theatre,Seattle,WA,Set 2,,Not Fade Away,7141,,1,1,long
1972-07-22,1544,Paramount Northwest Theatre,Seattle,WA,Set 1,,Tennessee Jed,7155,Set 2,1,1,long
1972-07-22,1544,Paramount Northwest Theatre,Seattle,WA,Set 2,,One More Saturday Night,7170,,1,1,long
1972-07-25,1545,Paramount Theatre,Portland,OR,Set 1,,Casey Jones,7184,Set 2,1,1,long
1972-07-25,1545,Paramount Theatre,Portland,OR,Set 2,,Not Fade Away,7199,,1,1,long
1972-07-26,1546,Paramount Theatre,Portland,OR,Set 1,,Casey Jones,7211,Set 2,1,1,long
1972-07-26,1546,Paramount Theatre,Portland,OR,Set 2,,Not Fade Away,7226,Encore,1,1,short
1972-07-26,1546,Paramount Theatre,Portland,OR,Encore,,One More Saturday Night,7227,,1,1,long
1972-08-12,1551,Sacramento Memorial Auditorium,Sacramento,CA,Set 1,,Casey Jones,7241,Set 2,1,1,long
1972-08-12,1551,Sacramento Memorial Auditorium,Sacramento,CA,Set 2,,Sugar Magnolia,7252,Encore,1,1,short
1972-08-12,1551,Sacramento Memorial Auditorium,Sacramento,CA,Encore,,One More Saturday Night,7253,,1,1,long
1972-08-20,1556,San Jose Civic Auditorium,San Jose,CA,Set 1,,Playing In The Band,7265,Set 2,1,1,long
1972-08-20,1556,San Jose Civic Auditorium,San Jose,CA,Set 2,,One More Saturday Night,7276,Encore,1,1,short
1972-08-20,1556,San Jose Civic Auditorium,San Jose,CA,Encore,,Uncle John's Band,7277,,1,1,long
1972-08-21,1558,Berkeley Community Theater,Berkeley,CA,Set 1,19:00:00.000,Casey Jones,7292,Set 2,1,1,long
1972-08-21,1558,Berkeley Community Theater,Berkeley,CA,Set 2,19:00:00.000,One More Saturday Night,7302,,1,1,long
1972-08-22,1559,Berkeley Community Theater,Berkeley,CA,Set 1,19:00:00.000,Promised Land,7314,Set 2,1,1,long
1972-08-22,1559,Berkeley Community Theater,Berkeley,CA,Set 2,19:00:00.000,Not Fade Away,7326,,1,1,long
1972-08-24,1560,Berkeley Community Theater,Berkeley,CA,Set 1,19:00:00.000,Casey Jones,7337,Set 2,1,1,long
1972-08-24,1560,Berkeley Community Theater,Berkeley,CA,Set 2,19:00:00.000,One More Saturday Night,7348,Encore,1,1,short
1972-08-24,1560,Berkeley Community Theater,Berkeley,CA,Encore,19:00:00.000,Uncle John's Band,7349,,1,1,long
1972-08-25,1561,Berkeley Community Theater,Berkeley,CA,Set 1,19:00:00.000,Bertha,7363,Set 2,1,1,long
1972-08-25,1561,Berkeley Community Theater,Berkeley,CA,Set 2,19:00:00.000,One More Saturday Night,7367,Encore,1,1,short
1972-08-25,1561,Berkeley Community Theater,Berkeley,CA,Encore,19:00:00.000,Sugar Magnolia,7368,,1,1,long
1972-08-27,1562,Old Renaissance Faire Grounds,Veneta,OR,Set 1,,Bertha,7377,Set 2,1,1,long
1972-08-27,1562,Old Renaissance Faire Grounds,Veneta,OR,Set 2,,Greatest Story Ever Told,7382,Set 3,1,1,long
1972-08-27,1562,Old Renaissance Faire Grounds,Veneta,OR,Set 3,,One More Saturday Night,7388,,1,1,long
1972-09-03,1567,"Folsom Field, University of Colorado Boulder",Boulder,CO,Set 1,,Casey Jones,7398,Set 2,1,1,long
1972-09-03,1567,"Folsom Field, University of Colorado Boulder",Boulder,CO,Set 2,,Johnny B. Goode,7410,Set 3,1,1,long
1972-09-03,1567,"Folsom Field, University of Colorado Boulder",Boulder,CO,Set 3,,One More Saturday Night,7420,,1,1,long
1972-09-09,1568,Hollywood Palladium,Hollywood,CA,Set 1,,Johnny B. Goode,7431,Set 2,1,1,long
1972-09-09,1568,Hollywood Palladium,Hollywood,CA,Set 2,,Sugar Magnolia,7442,Encore,1,1,short
1972-09-09,1568,Hollywood Palladium,Hollywood,CA,Encore,,One More Saturday Night,7443,,1,1,long
1972-09-10,1569,Hollywood Palladium,Hollywood,CA,Set 1,,Casey Jones,7454,Set 2,1,1,long
1972-09-10,1569,Hollywood Palladium,Hollywood,CA,Set 2,,Sugar Magnolia,7464,Encore,1,1,short
1972-09-10,1569,Hollywood Palladium,Hollywood,CA,Encore,,One More Saturday Night,7465,,1,1,long
1972-09-15,1570,Boston Music Hall,Boston,MA,Set 1,,Casey Jones,7478,Set 2,1,1,long
1972-09-15,1570,Boston Music Hall,Boston,MA,Set 2,,Sugar Magnolia,7487,Encore,1,1,short
1972-09-15,1570,Boston Music Hall,Boston,MA,Encore,,One More Saturday Night,7488,,1,1,long
1972-09-16,1572,Boston Music Hall,Boston,MA,Set 1,,Playing In The Band,7500,Set 2,1,1,long
1972-09-16,1572,Boston Music Hall,Boston,MA,Set 2,,Not Fade Away,7512,Encore,1,1,short
1972-09-16,1572,Boston Music Hall,Boston,MA,Encore,,One More Saturday Night,7513,,1,1,long
1972-09-17,1574,Baltimore Civic Center,Baltimore,MD,Set 1,,Casey Jones,7526,Set 2,1,1,long
1972-09-17,1574,Baltimore Civic Center,Baltimore,MD,Set 2,,Uncle John's Band,7536,Encore,1,1,short
1972-09-17,1574,Baltimore Civic Center,Baltimore,MD,Encore,,One More Saturday Night,7537,,1,1,long
1972-09-19,1575,Roosevelt Stadium,Jersey City,NY,Set 1,,Promised Land,7547,Set 2,1,1,long
1972-09-19,1575,Roosevelt Stadium,Jersey City,NY,Set 2,,Casey Jones,7561,Encore,1,1,short
